user_id,old_recommendations,new_recommendations,overlap_count,overlap_ratio,avg_score_old,avg_score_new,avg_score_diff,predicted_match_rate_old,predicted_match_rate_new,duplicate_count_old,duplicate_count_new
focused_acne,5,5,2,0.2857142857142857,0.4343702137094538,0.3950950483083195,-0.03927516540113429,0.8,0.8,1,0
focused_age,5,5,4,0.6666666666666666,0.41564437026959966,0.39918570177900076,-0.016458668490598904,0.8,0.8,0,0
focused_eyebag,5,5,3,0.42857142857142855,0.36355832431023394,0.3512316181945866,-0.012326706115647346,0.8,0.8,0,0
focused_moisture,5,5,4,0.6666666666666666,0.43929764076025857,0.4646621062535005,0.02536446549324195,0.8,0.8,0,0
focused_oiliness,5,5,3,0.5,0.4336571091961924,0.43976152692116627,0.006104417724973887,0.8,0.8,1,0
focused_redness,5,5,2,0.25,0.3297187429689322,0.39328067685128765,0.06356193388235543,0.8,0.8,0,0
focused_wrinkle,5,5,3,0.42857142857142855,0.320245777835463,0.35386982374630016,0.033624045910837175,0.8,0.8,0,0
general_1,5,5,1,0.125,0.25284857226780627,0.30297910386825777,0.0501305316004515,0.8,0.8,1,0
general_10,5,5,1,0.1111111111111111,0.25571771125859505,0.30164521278538536,0.045927501526790315,0.8,0.6,0,0
general_11,5,5,2,0.25,0.24641132875790853,0.272110465955782,0.02569913719787345,0.8,0.8,0,0
general_12,5,5,1,0.125,0.26279488714794014,0.2657010518907575,0.002906164742817352,0.8,0.8,1,0
general_13,5,5,1,0.1111111111111111,0.31212761916881904,0.25904978435740206,-0.05307783481141698,0.8,0.8,0,0
general_14,5,5,1,0.1111111111111111,0.2383557908463647,0.30874057733203364,0.07038478648566893,0.8,0.8,0,0
general_2,5,5,1,0.1111111111111111,0.27132385581627966,0.3630157502378186,0.09169189442153897,0.8,0.8,0,0
general_3,5,5,1,0.1111111111111111,0.2599860465383129,0.32107117105705923,0.061085124518746314,0.8,0.6,0,0
general_4,5,5,2,0.25,0.27096583948901376,0.35364497003938217,0.08267913055036841,0.8,0.8,0,0
general_5,5,5,2,0.25,0.31524903095259804,0.2654690223324306,-0.04978000862016746,0.8,0.8,0,0
general_6,5,5,0,0.0,0.32567552582444426,0.2337100232100923,-0.09196550261435196,0.8,0.8,1,0
general_7,5,5,1,0.1111111111111111,0.24219480948975008,0.24494175013029773,0.002746940640547646,0.8,0.6,0,0
general_8,5,5,2,0.2857142857142857,0.2999952379127774,0.3451689146539652,0.04517367674118783,0.8,0.8,1,0
general_9,5,5,3,0.42857142857142855,0.2683667691563325,0.2919956714464004,0.023628902290067866,0.8,0.8,0,0
